After hearing the news of close friends getting dengue I suddenly felt feverish... Commence paranoidness,negative
sighs caught a flu and fever ;_;,negative
Vado ‰ÛÒ Slime Flu 4 (Mixtape) http://t.co/9U83choKpG,negative
"@MamaManic flu like illness delusions can be blamed for large orders arriving at the door ! I haven't started it yet ,tomorrow will be the",negative
#________„Å„â_ü #_____µ____„Û__ ___ü„Û_ü_È_È _«„Û_¡_á___ü„â _Õ_ü__„Ä http://t.co/4voRmwYzgY,positive
The doctors and nurses who risked all to save the world from #SARS - by @Kevin_Fong http://t.co/3ZscwWLpgZ http://t.co/OG2c7WYPeQ,positive
"RT @Xadists: sorry 'bout that! RT @MwambaTweets: Not bad..just down with flu Xadists am good, and you?? RT
@MwambaTweets : Xadists How
are ‰Û_",negative
"RT @trutherbot: Deadly nerve disease, narcolepsy, and overall ineffectiveness are but a few of the negative aspects of the flu shot.",negative
"Fck off man ""@heyTaeyang: silly ""@21CHAELYNN: [] Too much drinking ice beverage today. My flu won't stop. Ah........... ._.""""",negative
"Nepal culls 500,000 chickens to fight bird flu http://t.co/NDtIWPGbRo",negative
@claimsfive colt flu is far worse than filly flu. Feel his pain.,negative
Cough+flu+fever D:,negative
RT @bbcworldservice: The doctors and nurses who risked all to save the world from #SARS - by @Kevin_Fong http://t.co/3ZscwWLpgZ http://t.co‰Û_,positive
"My Immune System let me down yet again.
Fighting the flu feels like a near death experience. The weather isnt helping either. I need my mom!",negative
How is your day? :) ‰ÛÓ BAD. STUPD FLU http://t.co/elrJ2WzTAp,negative
RT @NuhaFaiz: She got all happy when I told her I'm suffering from Dengue ----&gt; @SparklyHeba ! :| ;D,negative
Literally can't move #flu #ill #WhyMe.,negative
Is going to be very busy now until at least the end of the year! Unfortunately this flu is not helping matters much at the present!,negative
Slime Flu 4 is better than Bang 2,negative
@wankernarry :-----(  i is tampo btw is u okay from dengue ayieh nakakapayat daw pag naospital aye sexy animal,negative
"I don't need your opinion ""@heyTaeyang: silly ""@21CHAELYNN: [] Too much drinking ice beverage today. My flu won't stop. Ah........... ._.""""",negative
@Havenr64 In my defense I am dealing with severe man flu,negative
RT @Tyla300: Slime Flu 4 is better than Bang 2,positive
@ALIABDOULLAD1 Sorry to hear about your flu.:-( Hope yourup and about soon! Big hugs............from afar that is.,negative
"Having fever, flu, migraine and sore throat. Was shivering badly at rp just now.  Hais. http://t.co/UQr3XgPAMD",negative
Scientists Reveal How Deadly Ebola Virus Assembles  http://t.co/WIRI4Cw8AT,negative
"umur mah teu bisa dibohongam des, haha  RT @dez_desii: Klo udah minum minuman dingin pasti langsung flu berat..cing http://t.co/UVg9fqSEeN",negative
RT @bbcworldservice: The doctors and nurses who risked all to save the world from #SARS - by @Kevin_Fong http://t.co/3ZscwWLpgZ http://t.co‰Û_,positive
RT @infobenissa: Mor per meningitis cinc dies desprÌ©s que li descartaren la malaltia a l‰Ûªhospital de DÌ©nia: http://t.co/9yr9k6epu6,positive
News -Can you die from swine flu? - http://t.co/ruxz0YDaq0,negative
"RT @trutherbot: Deadly nerve disease, narcolepsy, and overall ineffectiveness are but a few of the negative aspects of the flu shot.",negative
#Mixtape: Slime Flu 4 http://t.co/rhgSVukpeo,negative
Universal flu vaccine may be a step closer http://t.co/5iuKfXQNB3,negative
"Haha :""D, emg aku lgi ingusan mel, lggi flu :""D""@melodiaputri: Jiaahh dia ikut ingusan X'D ""@EkaaRizkyF: Haha :""D""@melodiaputri: Ehehee""",negative
I'm down with flu.... arggghh,negative
"Puma is for me tonight but like this flu :""( maaaaan!!",negative
Cold and flu: When should you consider antibiotics - Helium http://t.co/Y3n6afPwOg,negative
I'm Sicker Then The Swine Flu .,negative
They risked their lives to stop Sars http://t.co/farEbMP7rI Doctors who saved the world! You need to read this.,negative
No to Flu ;///,negative
"@Furlicity It pays less, but why don't they cure the idiocy influenza that's infected DC? In the end, that cure my save more lives.",negative
RT @bbcworldservice: The doctors and nurses who risked all to save the world from #SARS - by @Kevin_Fong http://t.co/3ZscwWLpgZ http://t.co‰Û_,positive
": What's the meaning of holiday if you stuck on bed with bad fever, cough, sore throat and flu? Full‰Û_ http://t.co/43EQ95c2jx",negative
@M_Deliciouss im down with a fucking flu mate!!,negative
@LiLan_FadliAn owhtt. .emg ny haruss ee kaloo lage flu + batuk mandii aer anget..:D,positive
Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
RT @ceciliayaniska: Flu berat /m\,negative
RT @brittlovesdanny: a few people get swine flu and everybody wanna wear masks...5 million people have AIDS an still nobody dont wanna wear‰Û_,negative
"Somalie: une grave Ì©pidÌ©mie de polio se propage, avertit l'ONU: Une Ì©pidÌ©mie de poliomyÌ©lite, maladie contagie... http://t.co/0mZ7ZNPl2e",negative
RT @natasyarazak: This flu still killing me urghhh,negative
RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
"#Somalie : Ì©pidÌ©mie de #polio , 600 000 enfants ne sont pas vaccinÌ©s et sont vulnÌ©rables.",negative
I feel like Hanging-out today. Flu dont kill my vibe,negative
RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
Let's see what Slime Flu 4 is saying,negative
"""@iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.""",negative
RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
"bad sore throat, flu, n fever _Ù÷£",negative
RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
Can't wait to get over this flu. . It has taken over my life,negative
"Kabar baik tet.. Cuma agak flu aja hihi""@fitrihutabarat: entut apa kabar ? RT @restufirda: Syukur alhamdulillah diizinin Apih&amp;Mamah \m/""",negative
This doctor not bad....an fast..but the medicine department damn slow...I only want flu meddd..is it that difficult to prepare,negative
RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
Trainer time for the first time in weeks. Damn this flu.,negative
"Told my mom 'Just when I thought I have recovered from flu, my 3rd wisdom tooth is coming out.' She replied with 'thats life,' I FEEL LOVED.",negative
@JustSteveNewman what if I catch your man flu,negative
RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
Looks like I'm not going school considering I think I have the flu and I have no voicep,negative
@TomKiely_ If it makes you feel better I'm stuck at home with the flu. You're not the only one having a sucky night.,negative
"Somalie: une grave Ì©pidÌ©mie de polio se propage, avertit l'ONU.Ìàa arrivera bientÌ«t chez nous.La gale est dÌ©jÌÊ revenue http://t.co/tPsNblDmg3",negative
aug is not my month &gt;&lt; sprain leg and then later i have allergy skin then now fever and flu walao :c,negative
@Elnegro_VK3K you copped slime flu 4?,negative
RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
@MishtotheD man flu is the devil!,negative
RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
Somalie: l'Ì©pidÌ©mie de polio se propage http://t.co/WW4kI7ORpP,negative
Flu is gone but my throat is gonna ruin me,negative
RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
@nelsonarrifes xD RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
#SlimeFlu Slime Flu 4 http://t.co/XeC4MYIGsy,negative
RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
the flu is getting worse _Ù÷©_Ù÷©_Ù÷©,negative
"Lagi laper pas pilek flu, itu adalah sia-sia. karna seenak apapun, bakal gag jelas rasanya ‰ÓÕ(‰ÛÓè_‰ÛÓ)‰Ó_  ok bye!",negative
"Oash naek pangkat rek..wkwkk mari ngamen,rekaman skrg wkwk RT@hidari_ct: Recording while having flu = disaster",negative
"Heuuuu -,- ciyee lg flu ahahayyy :D RT @primasalama: @Ar_rahman26 oooh ga konek maap-_-",negative
@DJShahpara Khansi and Flu i hate them,negative
"Km bkn shane (‰¥´_‰¥´) ""@Feny_FCMadrid: gws ulvie (è÷æÄ®»è÷)""@ulviebepeWL: @ShaneFilan im not good enough today shane. I've flu and cough:&amp; please",negative
RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
RT @Joeyhyperretard: aug is not my month &gt;&lt; sprain leg and then later i have allergy skin then now fever and flu walao :c,negative
School starts in 5 days and i have the flu.. Perfect,negative
News -What seniors should know about swine flu? - http://t.co/zZnREVcKqC,negative
I have fox flu. :C Send hugs and chicken soup pls.,negative
"10 years ago, medical staff in a number of countries risked their lives to stop Sars. Here's their (cont) http://t.co/TGJ3l65hqo",positive
"@Markgatiss @WoollyWormhead Craziness ! it's this kind of misinformation that is bringing back Polio, smallpox and other diseases",negative
Having flu in this season is so irritating maan!,negative
@minglimingles woah??! What happened? Flu bug got to you or something?,negative
"I'm just flu, but they probably think I'm crying ._.",negative
I need to get up and wash but this flu keep telling me to stay in bed some more.,negative
RT @iTweetFacts: Lemonade prevents the common cold &amp; strengthens immunity against the flu.,negative
No sense of taste at all...Flu what are you doing? #andinhealth?,positive
@JY_lemonade the flu?,negative
RT @JiyoungKR_SM: Ne unni thankyou‰ª´ RT @waffletaengo: get some sleep for an hour dear‰ù_‰ù_ RT JiyoungKR_SM: [] my body is warm. This flu is ge‰Û_,negative
Registra Quintana Roo mil 65 casos de dengue http://t.co/8Y8c3z02dL VÌ_a: @NovedadesQroo,negative
Registra Quintana Roo mil 65 casos de dengue http://t.co/EfBPnxsR0V,negative
Registra Quintana Roo mil 65 casos de dengue http://t.co/cCWZu2cVF6,negative
Oh hold up bout to go get these flu games right now bbl,negative
G.o.T.h.A.z.E.- The South's #1 Hip Hop Urban Media Source - @Vado_MH - Slime Flu 4 Hosted by We The Best Music: http://t.co/1ME1MOhNH8 ‰Û_,positive
G.o.T.h.A.z.E.- The South's #1 Hip Hop Urban Media Source - @Vado_MH - Slime Flu 4 Hosted by We The Best Music: http://t.co/hVDuNXg2dX ‰Û_,positive
@brandonywl @Joe_Purity @_Those3Voices_ Siao so u caught the second type of dengue liao? :O,negative
G.o.T.h.A.z.E.- The South's #1 Hip Hop Urban Media Source - @Vado_MH - Slime Flu 4 Hosted by We The Best Music:... http://t.co/WCxZU08LBY,positive
RT @TurboCruise: Feeling crap got cold and bad head!!. Misses call's it Man Flu! lol i'l get over it,negative
Registra Quintana Roo mil 65 casos de dengue http://t.co/hVPprsJ8sA @Sipse,negative
